word,n
veröffentlicht,78
wichtige,78
bedeutet,77
binnen,77
csu,77
fallen,77
hoc,77
jördis,77
schule,77
teilte,77
vortag,77
allgemeine.de,76
diskussion,76
erwachsenen,76
expertin,76
hilft,76
insbesondere,76
schweizer,76
schützt,76
sicht,76
ungeimpften,76
vakzin,76
ansteckungen,75
arbeit,75
info,75
intensivstationen,75
klaus,75
klinikum,75
leipzig,75
treten,75
zukunft,75
andreas,74
brandenburg,74
bringen,74
bringt,74
bundesländer,74
durchseuchung,74
focus,74
laufenden,74
registriert,74
rehabilitation,74
sinkt,74
steigender,74
weltgesundheitsorganisation,74
anhaltende,73
ergebnis,73
häufiger,73
liegen,73
martin,73
polizei,73
sinnvoll,73
antworten,72
empfiehlt,72
führt,72
rahmen,72
uni,72
virologen,72
www.ndr.de,72
überblick,72
angebot,71
behörden,71
erschöpft,71
fällt,71
johnson,71
könne,71
melden,71
professor,71
vergleich,71
chefarzt,70
erreicht,70
health,70
hinzu,70
norddeutscher,70
peter,70
strategie,70
therapien,70
überstandenen,70
ansteckung,69
bezeichnet,69
krankheitsbild,69
leiter,69
stunden,69
ständigen,69
ard,68
beschränkungen,68
bürger,68
dürfte,68
gestern,68
medien,68
sendung,68
sorgt,68
teilt,68
ursachen,68
bundes,67
essen,67
herz,67
patientin,67
schnitt,67
umfrage,67
arbeiten,66
holetschek,66
phänomen,66
rolle,66
tatsächlich,66
anzeiger,65
brauchen,65
hirschhausen,65
kraft,65
laufen,65
nordrhein,65
sommerferien,65
uniklinik,65
app,64
aussage,64
feedback,64
fühlen,64
liste,64
merkel,64
pressekonferenz,64
psychische,64
sowohl,64
anhaltenden,63
beitrag,63
england,63
herr,63
jüngere,63
ministerpräsident,63
rheinland,63
spö,63
täglich,63
ueber,63
vorsicht,63
art,62
augsburger,62
bayerns,62
bundesweite,62
gehört,62
gemeldeten,62
gespräch,62
neurologische,62
normalität,62
rechnen,62
testen,62
varianten,62
zunahme,62
frank,61
innen,61
spiegel,61
standard,61
belastung,60
direktor,60
erkennen,60
for,60
gefordert,60
gesundheitliche,60
meist,60
scholz,60
setzen,60
start,60
unserem,60
wenigen,60
afx,59
all,59
beschlossen,59
erfahrungen,59
erklärte,59
europäische,59
grippe,59
images,59
kommentar,59
müsse,59
starke,59
umgang,59
wirtschaft,59
zugelassen,59
ärzten,59
anteil,58
autor,58
bevor,58
erwachsene,58
frankreich,58
genesung,58
hervor,58
höher,58
mainz,58
merkur.de,58
milden,58
minuten,58
nächste,58
ots.at,58
sprach,58
teilweise,58
ukraine,58
ärztin,58
öffentlichen,58
alliance,57
begriff,57
charité,57
diabetes,57
erforschung,57
frankfurter,57
geschützt,57
heiligendamm,57
langsam,57
lockdowns,57
pfalz,57
pflicht,57
phase,57
union,57
verläufen,57
zunehmend,57
diskutiert,56
dosen,56
freiburg,56
kämpft,56
lokales,56
längst,56
mitarbeiter,56
risiken,56
wolfgang,56
zdf,56
ausbruch,55
berichtete,55
gesundheitlichen,55
gesundheitsamt,55
kultur,55
kurzatmigkeit,55
meldungen,55
million,55
schäden,55
vorsitzende,55
weitgehend,55
altersgruppe,54
antikörper,54
arbeitgeber,54
berufskrankheit,54
britische,54
imago,54
immunsystem,54
impfdosen,54
innenräumen,54
isolation,54
letzte,54
mehrheit,54
monat,54
möglicherweise,54
notbremse,54
schmerzen,54
web.de,54
öffnen,54
ausgesprochen,53
china,53
icontwitter,53
iconwhatsapp,53
kind,53
moderna,53
mückstein,53
picture,53
schätzungen,53
seite,53
söder,53
ansicht,52
arzneimittelbehörde,52
gemeinsam,52
gründe,52
impfstoffs,52
kamen,52
landtag,52
story,52
streit,52
supermarkt,52
westfalen,52
beginnt,51
bekommt,51
bundesweit,51
chronischen,51
deutliche,51
dramatisch,51
einrichtungen,51
forschende,51
gehirn,51
husten,51
ischgl,51
meinung,51
programm,51
ratgeber,51
seltener,51
stuttgart,51
ursache,51
verändert,51
wahrscheinlich,51
aussagen,50
berichte,50
druck,50
fachleute,50
fans,50
gekommen,50
impfnebenwirkungen,50
kopf,50
lunge,50
minister,50
netzwerk,50
nötig,50
per,50
plus,50
positiven,50
rückkehr,50
schritt,50
schwerer,50
swr,50
ambulanzen,49
bereich,49
bessere,49
form,49
gegeben,49
